gene,ENSG ID,conc [pg/L],sample type,number_of_samples,pubmed id
SELENOP,ENSG00000250722,4.40E+09,Plasma,100+,30084959
SERPINA1,ENSG00000197249,3.10E+12,Plasma,10-100,22641612
SERPINA10,ENSG00000140093,4.40E+09,Plasma,10-100,25783867
SERPINA3,ENSG00000196136,3.30E+11,Plasma,10-100,22641612
SERPINA7,ENSG00000123561,5.60E+10,Plasma,10-100,22641612
SERPINE1,ENSG00000106366,7.00E+07,Plasma,10-100,22641612
SERPINF1,ENSG00000132386,4.30E+09,Plasma,10-100,20547683
SERPINF2,ENSG00000167711,1.20E+04,Plasma,10-100,27861608
SOD3,ENSG00000109610,1.20E+08,Plasma,10-100,14592844
SPARC,ENSG00000113140,8.30E+06,Plasma,10-100,11445660
SPP1,ENSG00000118785,4.70E+07,Plasma,10-100,9815727
ST6GAL1,ENSG00000073849,1.50E+07,Plasma,10-100,19150807
TEK,ENSG00000120156,7.50E+06,Plasma,10-100,12814387
TF,ENSG00000091513,3.10E+13,Plasma,10-100,22641612
TFF3,ENSG00000160180,1.70E+08,Plasma,10-100,22641612
TFPI,ENSG00000003436,1.50E+08,Plasma,10-100,11804978
TGFB3,ENSG00000119699,6.20E+04,Plasma,10-100,22641612
THPO,ENSG00000090534,2.50E+06,Plasma,10-100,22641612
TIMP1,ENSG00000102265,9.40E+07,Plasma,100+,11434385
TNF,ENSG00000232810,1.40E+04,Plasma,10-100,16320084
TNFRSF1A,ENSG00000067182,1.80E+04,Plasma,01-Sep,26854079
TNFRSF1B,ENSG00000028137,3.70E+06,Plasma,10-100,12351485
TNFSF11,ENSG00000120659,5.80E+03,Plasma,10-100,28879248
TNFSF12,ENSG00000239697,6.00E+05,Plasma,10-100,26275704
TNFSF13,ENSG00000161955,2.00E+07,Plasma,10-100,19806256
TNFSF13B,ENSG00000102524,2.40E+03,Plasma,10-100,28260100
TNFSF14,ENSG00000125735,5.50E+04,Plasma,10-100,29952668
UCN,ENSG00000163794,1.30E+05,Plasma,10-100,15956084
UTS2,ENSG00000049247,1.80E+05,Plasma,100+,25604143
VCAM1,ENSG00000162692,6.00E+08,Plasma,10-100,22641612
VEGFA,ENSG00000112715,5.60E+05,Plasma,10-100,22641612
VEGFB,ENSG00000173511,2.30E+05,Plasma,10-100,22464775
VEGFC,ENSG00000150630,8.20E+05,Plasma,10-100,23679318
VTN,ENSG00000109072,9.30E+11,Plasma,10-100,22641612
VWF,ENSG00000110799,4.60E+10,Plasma,10-100,22641612
