Gene,ENSG_ID,Concentration,Sample_Type,Number_of_Samples,PubMed_ID
IL18BP,ENSG00000137496,5.8E6,Serum,10-100,24444080
IL1A,ENSG00000115008,8.0E3,Serum,100+,16990410
IL1A,ENSG00000115008,1.0E4,Serum,10-100,22641612
IL1B,ENSG00000125538,4.5E2,Serum,10-100,22641612
IL1F10,ENSG00000136697,1.2E5,Serum,10-100,26314375
IL1F10,ENSG00000136697,3.2E5,Serum,10-100,28992508
IL1R2,ENSG00000115590,6.9E4,Serum,10-100,15843049
IL1R2,ENSG00000115590,1.1E7,Serum,10-100,22509941
IL1RN,ENSG00000136689,1.2E5,Serum,10-100,22641612
IL2,ENSG00000109471,1.4E4,Serum,10-100,23533306
IL2,ENSG00000109471,2.0E4,Serum,10-100,22641612
IL20,ENSG00000162891,1.1E5,Serum,10-100,25631632
IL20,ENSG00000162891,1.3E4,Serum,10-100,28360429
IL21,ENSG00000138684,5.0E4,Serum,10-100,22356196
IL21,ENSG00000138684,6.6E4,Serum,10-100,26351408
IL21,ENSG00000138684,5.1E4,Serum,10-100,27884624
IL22,ENSG00000127318,4.6E3,Serum,10-100,26351408
IL22,ENSG00000127318,6.2E3,Serum,100+,28143481
IL22RA2,ENSG00000164485,1.0E6,Serum,10-100,26077779
IL22RA2,ENSG00000164485,8.0E7,Serum,10-100,28356382
IL23A,ENSG00000110944,1.1E4,Serum,100+,27893410
IL24,ENSG00000162892,5.0E4,Serum,10-100,25178435
IL25,ENSG00000166090,5.5E4,Serum,10-100,23327689
IL25,ENSG00000166090,9.0E4,Serum,10-100,27812008
IL25,ENSG00000166090,6.1E3,Serum,10-100,22641612
IL26,ENSG00000111536,3.0E4,Serum,10-100,23055831
IL26,ENSG00000111536,3.3E4,Serum,1-9,23177721
IL26,ENSG00000111536,4.5E4,Serum,10-100,24310228
IL27,ENSG00000197272,4.2E4,Serum,10-100,20705635
IL3,ENSG00000164399,1.5E4,Serum,10-100,26208986
IL3,ENSG00000164399,1.4E4,Serum,10-100,27237600
IL3,ENSG00000164399,3.0E4,Serum,10-100,22641612
IL31,ENSG00000204671,4.2E4,Serum,10-100,24310228
IL31,ENSG00000204671,5.2E4,Serum,10-100,26956917
IL32,ENSG00000008517,3.9E4,Serum,10-100,24310228
IL32,ENSG00000008517,4.6E3,Serum,1-9,27018873
IL34,ENSG00000157368,1.2E5,Serum,10-100,24712570
IL34,ENSG00000157368,4.1E4,Serum,10-100,28036035
IL34,ENSG00000157368,1.0E4,Serum,10-100,29472590
IL36A,ENSG00000136694,8.8E4,Serum,10-100,25902739
IL36A,ENSG00000136694,8.9E5,Serum,10-100,28611508
IL36A,ENSG00000136694,4.2E3,Serum,10-100,29571080
IL36A,ENSG00000136694,1.3E4,Serum,10-100,31722038
IL36B,ENSG00000136696,1.5E4,Serum,10-100,29571080
IL36B,ENSG00000136696,1.8E3,Serum,10-100,31722038
IL36G,ENSG00000136688,3.7E4,Serum,10-100,31722038
IL36RN,ENSG00000136695,1.1E5,Serum,10-100,29571080
IL37,ENSG00000125571,3.0E4,Serum,10-100,23697556
IL4,ENSG00000113520,1.3E4,Serum,10-100,17563406
IL4,ENSG00000113520,8.0E3,Serum,10-100,23533306
IL4,ENSG00000113520,2.8E4,Serum,10-100,22641612
IL4R,ENSG00000077238,3.8E4,Serum,10-100,20133986
IL5,ENSG00000113525,4.4E3,Serum,10-100,15113433
IL5,ENSG00000113525,5.8E3,Serum,10-100,9545110
IL5,ENSG00000113525,4.9E3,Serum,10-100,22641612
IL6,ENSG00000136244,5.1E3,Serum,10-100,9883970
IL6,ENSG00000136244,5.4E3,Serum,10-100,22641612
IL6R,ENSG00000160712,2.3E7,Serum,10-100,22641612
IL7,ENSG00000104432,7.5E3,Serum,10-100,17438097
IL7,ENSG00000104432,2.8E3,Serum,10-100,20382196
IL7,ENSG00000104432,5.1E4,Serum,10-100,22641612
IL9,ENSG00000145839,2.6E4,Serum,10-100,23291628
IL9,ENSG00000145839,1.2E3,Serum,10-100,26078482
INSL3,ENSG00000248099,9.0E5,Serum,1-9,23040523
INSL3,ENSG00000248099,1.1E5,Serum,10-100,23928669
INSL5,ENSG00000172410,3.2E7,Serum,10-100,27355242
INSL5,ENSG00000172410,4.5E7,Serum,10-100,27355242
ISG15,ENSG00000187608,5.0E6,Serum,100+,27626177
ITIH1,ENSG00000055957,4.5E6,Serum,10-100,27150491
ITIH4,ENSG00000055955,1.1E6,Serum,1-9,25866527
ITIH4,ENSG00000055955,2.4E6,Serum,10-100,25977605
ITIH4,ENSG00000055955,5.7E6,Serum,10-100,27150491
ITLN1,ENSG00000179914,1.9E7,Serum,100+,20129687
ITLN1,ENSG00000179914,4.9E8,Serum,10-100,24755035
LBP,ENSG00000129988,3.2E10,Serum,10-100,29843666
LBP,ENSG00000129988,2.1E10,Serum,100+,30219816
LECT2,ENSG00000145826,1.3E7,Serum,1-9,15561249
LECT2,ENSG00000145826,4.4E7,Serum,100+,24390366
LEP,ENSG00000174697,1.7E7,Serum,10-100,22641612
LGALS1,ENSG00000100097,1.8E7,Serum,1-9,32920057
LGALS1,ENSG00000100097,8.9E6,Serum,10-100,24517166
LGALS9,ENSG00000168961,9.8E4,Serum,10-100,29202955
LGALS9,ENSG00000168961,1.2E6,Serum,100+,30185417
LGALS9,ENSG00000168961,4.7E4,Serum,10-100,30199489
LRG1,ENSG00000171236,2.5E10,Serum,10-100,21970875
LTA,ENSG00000226979,1.3E4,Serum,10-100,22480318
LTA,ENSG00000226979,8.5E3,Serum,10-100,22641612
LYZ,ENSG00000090382,9.0E8,Serum,10-100,10587554
MBL2,ENSG00000165471,9.0E8,Serum,100+,25879044
MDK,ENSG00000110492,1.2E5,Serum,10-100,25737783
METRNL,ENSG00000176845,1.1E5,Serum,10-100,29097285
METRNL,ENSG00000176845,9.5E4,Serum,10-100,30212581
MFGE8,ENSG00000140545,7.9E5,Serum,10-100,28266034
MIA,ENSG00000261857,1.2E7,Serum,10-100,11725209
MIA,ENSG00000261857,8.8E6,Serum,10-100,15710044
MIA,ENSG00000261857,3.6E6,Serum,10-100,9242442
MMP9,ENSG00000100985,6.4E6,Serum,1-9,22641612
NAMPT,ENSG00000105835,3.7E6,Serum,100+,26389889
NPPB,ENSG00000120937,1.3E4,Serum,100+,22165670
NPY,ENSG00000122585,7.2E7,Serum,10-100,27160117
ORM1,ENSG00000229314,7.3E11,Serum,10-100,22112431
ORM1,ENSG00000229314,1.5E12,Serum,10-100,27021626
OSM,ENSG00000099985,4.0E4,Serum,10-100,10233412
OXT,ENSG00000101405,1.5E6,Serum,10-100,28076675
PDGFB,ENSG00000100311,1.8E7,Serum,10-100,22641612
PGF,ENSG00000119630,4.1E4,Serum,10-100,22641612
PLG,ENSG00000122194,1.4E11,Serum,10-100,16038022
PMCH,ENSG00000183395,9.8E4,Serum,100+,15546902
PMCH,ENSG00000183395,4.5E5,Serum,10-100,25932975
POMC,ENSG00000115138,3.8E5,Serum,1-9,22641612
PON1,ENSG00000005421,5.9E10,Serum,10-100,10946025
PON1,ENSG00000005421,7.9E10,Serum,100+,7998991
PON3,ENSG00000105852,1.8E9,Serum,100+,21335322
PON3,ENSG00000105852,1.8E9,Serum,100+,22003209
PON3,ENSG00000105852,1.7E9,Serum,100+,22153698
PPBP,ENSG00000163736,2.5E7,Serum,10-100,21911319
PPY,ENSG00000108849,7.6E4,Serum,10-100,22641612
PRL,ENSG00000172179,1.6E7,Serum,10-100,24370384
PRL,ENSG00000172179,7.5E6,Serum,10-100,22641612
PROS1,ENSG00000184500,2.2E10,Serum,10-100,22641612
PTH,ENSG00000152266,4.4E4,Serum,10-100,27064335
PTH,ENSG00000152266,1.2E4,Serum,10-100,28540270
PTN,ENSG00000105894,1.2E5,Serum,10-100,22065111
PTN,ENSG00000105894,2.2E5,Serum,10-100,28041942
PTX3,ENSG00000163661,1.1E6,Serum,10-100,28809733
PTX3,ENSG00000163661,1.1E6,Serum,10-100,30013746
PYY,ENSG00000131096,9.9E4,Serum,10-100,26506614
PYY,ENSG00000131096,4.9E4,Serum,10-100,22641612
RARRES2,ENSG00000106538,7.5E7,Serum,10-100,27336360
RBP4,ENSG00000138207,8.4E10,Serum,10-100,22670657
RBP4,ENSG00000138207,3.6E10,Serum,100+,29190912
REN,ENSG00000143839,6.9E5,Serum,100+,29961983
RETN,ENSG00000104918,7.9E6,Serum,100+,15523596
RETN,ENSG00000104918,4.7E6,Serum,10-100,19545363
RETN,ENSG00000104918,2.8E6,Serum,10-100,22641612
RLN2,ENSG00000107014,3.1E3,Serum,100+,21339934
RLN3,ENSG00000171136,1.2E8,Serum,100+,23018057
RNASE3,ENSG00000169397,4.5E6,Serum,10-100,9279689
RNASE3,ENSG00000169397,4.6E6,Serum,1-9,9515598
RNLS,ENSG00000184719,2.8E10,Serum,10-100,22539018
RNLS,ENSG00000184719,4.0E9,Serum,10-100,22583169
RNLS,ENSG00000184719,1.2E8,Serum,10-100,28160962
S100A12,ENSG00000163221,6.0E7,Serum,10-100,12832707
S100A12,ENSG00000163221,6.3E7,Serum,10-100,22641612
S100A8,ENSG00000143546,3.0E6,Serum,10-100,19284577
S100A8,ENSG00000143546,5.1E5,Serum,10-100,26745257
S100A8,ENSG00000143546,1.9E7,Serum,10-100,28609200
S100A8,ENSG00000143546,2.1E7,Serum,10-100,28609200
S100A9,ENSG00000163220,5.2E4,Serum,10-100,26745257
S100A9,ENSG00000163220,8.4E6,Serum,10-100,28609200
S100A9,ENSG00000163220,8.9E6,Serum,10-100,28609200
S100A9,ENSG00000163220,2.5E7,Serum,10-100,29615081
SAA4,ENSG00000148965,7.8E10,Serum,10-100,8814354
SAA4,ENSG00000148965,6.2E10,Serum,10-100,9406058
SCT,ENSG00000070031,6.3E5,Serum,1-9,22641612
SCUBE1,ENSG00000159307,1.5E5,Serum,10-100,26438214
SCUBE1,ENSG00000159307,1.1E6,Serum,100+,26940951
SCUBE1,ENSG00000159307,1.2E6,Serum,100+,27265525
SCUBE1,ENSG00000159307,7.4E5,Serum,10-100,28238185
SCUBE1,ENSG00000159307,1.2E6,Serum,10-100,29984210
SCUBE3,ENSG00000146197,1.9E6,Serum,10-100,28238185
SDC1,ENSG00000115884,6.3E7,Serum,10-100,30310786
SELENOP,ENSG00000250722,4.6E7,Serum,10-100,29478805
SEMA3F,ENSG00000001617,1.7E6,Serum,10-100,28350837
SERPINA1,ENSG00000197249,1.6E12,Serum,10-100,18766166
SERPINA1,ENSG00000197249,1.9E12,Serum,10-100,18766166
SERPINA1,ENSG00000197249,1.5E12,Serum,10-100,27929717
SERPINA1,ENSG00000197249,2.3E12,Serum,10-100,22641612
SERPINA3,ENSG00000196136,1.1E12,Serum,10-100,22641612
SERPINA4,ENSG00000100665,2.9E10,Serum,10-100,26579446
SERPINA4,ENSG00000100665,5.6E6,Serum,10-100,28406338
SERPINA6,ENSG00000170099,6.1E10,Serum,10-100,16982228
SERPINA7,ENSG00000123561,3.2E10,Serum,100+,24210131
SERPINA7,ENSG00000123561,6.5E10,Serum,10-100,22641612
SERPINE1,ENSG00000106366,2.1E8,Serum,10-100,22641612
SERPINF1,ENSG00000132386,1.5E10,Serum,100+,16522692
SERPINF1,ENSG00000132386,9.0E9,Serum,10-100,22669302
SLPI,ENSG00000124107,3.2E7,Serum,10-100,15661245
SLPI,ENSG00000124107,1.8E6,Serum,10-100,28255192
SLPI,ENSG00000124107,4.5E7,Serum,10-100,28606626
SOD3,ENSG00000109610,3.5E7,Serum,10-100,29147011
SOD3,ENSG00000109610,3.3E7,Serum,10-100,29147011
SPON1,ENSG00000262655,1.2E7,Serum,10-100,27640094
SPP1,ENSG00000118785,4.4E8,Serum,10-100,11751502
SPP1,ENSG00000118785,9.3E6,Serum,10-100,22641612
SPX,ENSG00000134548,4.2E5,Serum,10-100,27218269
SPX,ENSG00000134548,6.6E6,Serum,10-100,29137471
SPX,ENSG00000134548,9.0E5,Serum,10-100,30184546
TF,ENSG00000091513,2.5E12,Serum,100+,10633294
TF,ENSG00000091513,2.6E13,Serum,10-100,22641612
TFF3,ENSG00000160180,2.1E6,Serum,10-100,27760866
TFF3,ENSG00000160180,2.8E8,Serum,10-100,22641612
TFRC,ENSG00000072274,1.3E9,Serum,100+,25354256
TGFA,ENSG00000163235,5.6E3,Serum,10-100,10459631
TGFA,ENSG00000163235,1.5E5,Serum,10-100,7742720
TGFA,ENSG00000163235,2.1E4,Serum,100+,8635123
TGFB1,ENSG00000105329,4.0E4,Serum,10-100,24740564
TGFB1,ENSG00000105329,1.2E5,Serum,10-100,25098449
