Protein_CD8,Intensity_CD8,Protein_CD4,Intensity_CD4,Protein_Platelet,Intensity_Platelet,Protein_NK,Intensity_NK,Protein_Monocyte,Intensity_Monocyte,Protein_Erythrocyte,Intensity_Erythrocyte,Protein_B cell,Intensity_B cell,Protein_Macrophage,Intensity_Macrophage,Protein_DC,Intensity_DC,Protein_Basophil,Intensity_Basophil,Protein_Eosinophil,Intensity_Eosinophil,Protein_Neutrophil,Intensity_Neutrophil
Q6PL24,0.152556764,Q96SQ5,8.89E-06,P11215,0.000199749,Q8NFP7,0.000153353,Q13322-4,0.00000383,,,Q8N4Y2,0.0000219,P30622-1,0.806095234,Q9H0C8,0.000204965,Q96P31,0.0000726,Q8TAC9,0.0000716,Q5BVD1,0.0000433
Q6PML9,0.247171604,Q96ST2,0.000365725,Q9P1T7,0.000200154,Q8NFP9,0.0000281,Q8N3F0,0.00000384,,,Q8N511,0.000118116,Q9H2M9,0.806104963,Q02543,0.000204973,A0A5A3,0.0000726,O96011,0.0000716,Q8TAT6,0.0000434
Q6PP77,1.57E-05,Q96ST3,0.001190326,Q96HD9,0.000200158,Q8NFQ8,0.000478994,Q9NXG6-3,0.00000384,,,Q8N539,0.0000155,Q01432,0.806224931,Q13415,0.000205073,Q13144,0.0000727,Q9BTE3,0.0000716,P38432,0.0000434
Q6PUV4,2.25E-06,Q96SU4,0.000329148,Q7L576,0.000200631,Q8NFU3,0.002357234,Q8TEA7,0.0000039,,,Q8N543,0.000332349,P28845,0.806257115,Q16875,0.000205146,Q96J01,0.0000728,Q96HY6,0.0000716,O43149,0.0000434
Q6Q4G3,6.79E-06,Q96SW2,0.00042427,O14578-4,0.000201597,Q8NFV4,0.000730043,Q8WXG6-3,0.0000039,,,Q8N554,0.000198756,Q8N392,0.806336361,Q9H4G4,0.000205326,Q7Z6J9,0.0000729,G3V5T0,0.0000717,Q99952,0.0000434
Q6Q788,0.000178412,Q96SY0,0.000446091,Q8NBP7,0.000201612,Q8NFW5,0.000107958,P08833,0.0000039,,,Q8N556,0.0000315,Q9BZZ5-2,0.806405349,P12814-3,0.000205386,P27701,0.0000729,Q9GZM5,0.0000717,P51511,0.0000434
Q6Q8B3,6.71E-06,Q96SZ5,0.0013388,Q8IVB5,0.00020186,Q8NFW8,0.001530326,P08243,0.0000039,,,Q8N567,0.000219707,Q12768,0.806415807,P27487,0.00020552,O95696-2,0.000073,P29590-2,0.0000718,P18669,0.0000435
Q6QEF8,0.000587472,Q96T23,0.000664379,Q9Y247,0.000201992,Q8NFZ5,0.000106644,Q9BRP8-2,0.00000391,,,Q8N568,0.0000568,O95379,0.806497343,Q6PIZ9,0.000205533,E7EUI8,0.000073,Q6PJF5-2,0.0000719,Q9NVC6,0.0000435
Q6QHF9,1.30E-05,Q96T37,0.001286113,O00501,0.000202525,Q8NG06,0.000538547,A8MPS7,0.00000393,,,Q8N573,0.001930266,O14561,0.806505525,P07305,0.000205534,P43631,0.000073,Q92552,0.000072,Q6ZU35,0.0000435
Q6QHK4,3.01E-05,Q96T51,0.001623588,Q9Y2B9,0.000202996,Q8NG08,0.000750424,Q02446,0.00000393,,,Q8N584,0.000446996,E9PJK1,0.806527757,P13984,0.000205538,P0C1Z6,0.0000731,O43765,0.0000722,Q16181-2,0.0000436
Q6QNK2,1.26E-06,Q96T58,0.000172793,Q9Y2E5,0.000203013,Q8NG11,0.001093645,O60683-2,0.00000394,,,Q8N5A5,0.00125126,P52788,0.806535233,Q5JUQ0,0.00020557,Q96S38,0.0000731,J3KPF0,0.0000724,Q15388,0.0000437
Q6QNY0,0.220313387,Q96T60,0.000467742,Q9BZW8-2,0.000204059,Q8NG31,0.0000149,P18583-3,0.00000395,,,Q8N5C6,0.000274617,Q9Y5S1,0.806653264,P19022,0.000205712,P15813,0.0000732,P29372,0.0000724,Q8WV19,0.0000437
Q6QNY1,0.227150152,Q96T66,5.61E-05,Q6ZNC8,0.000204132,Q8NG48,0.0000133,A0A087X0M4,0.00000395,,,Q8N5D0,0.0000363,I3L0A0,0.806686261,Q9H0Z9,0.000205824,Q15038-2,0.0000732,P05107,0.0000725,Q96IV0,0.0000437
Q6R2W3,8.77E-07,Q96T76,0.001034812,Q6PII3,0.000204142,Q8NGA1,0.0000958,A0A0C4DH34,0.00000397,,,Q8N5F7,0.0000614,Q96A33,0.806706353,Q9NNW5,0.000205993,Q3YBR2,0.0000732,Q6UUV9,0.0000726,P01624,0.0000438
Q6R327,0.169393992,Q96TA1,0.000729692,Q15714,0.000204363,Q8NGD1,0.0000256,O75420,0.00000397,,,Q8N5G0,0.005073625,Q9BXD5,0.806736082,P55199,0.000206032,P06396-3,0.0000733,Q9NS28,0.0000726,O60828,0.0000439
Q6RFH5,0.240104215,Q96TA2,0.000344552,Q9P291,0.000204727,Q8NGF7,0.00000446,Q16584,0.00000399,,,Q8N5H7,0.000434518,P30049,0.806778619,Q99081,0.000206242,Q9UKZ1,0.0000733,Q8IZA0,0.0000727,Q9Y248,0.0000439
