Protein_CD8,Intensity_CD8,Protein_CD4,Intensity_CD4,Protein_Platelet,Intensity_Platelet,Protein_NK,Intensity_NK,Protein_Monocyte,Intensity_Monocyte,Protein_Erythrocyte,Intensity_Erythrocyte,Protein_B cell,Intensity_B cell,Protein_Macrophage,Intensity_Macrophage,Protein_DC,Intensity_DC,Protein_Basophil,Intensity_Basophil,Protein_Eosinophil,Intensity_Eosinophil,Protein_Neutrophil,Intensity_Neutrophil
A0A0A0MT83,0.003814755,A0A0C4DH75,5.76E-05,P01011,0.097323598,A0A0C4DFL8,0.00244275,A0A499FIV7,0.001388571,P61981,0.409472047,A0A0A6YYJ8,0.00281542,H0Y4V9,0.590701545,Q9NW13,0.000000292,Q96NB3,0.00000011,Q9H3R5,0.000000128,Q96RD7,6.27E-08
A0A0A0MTE2,0.000318151,A0A0G2JMU2,6.98E-06,P04350,0.642965691,A0A0C4DFM0,0.000755322,A0A499FIX8,0.002845808,P28289,0.041996675,A0A0A6YYK5,0.00078584,A6NHN7,0.590801084,P46782,0.000000297,Q9UBF8,0.000000111,P18510-2,0.000000128,Q8IYR2,6.28E-08
A0A0A0MTJ9,0.000984207,A0A0G2JRV3,0.004081788,P68871,0.213041355,A0A0C4DFT8,0.000223545,A0A499FIY5,0.0000336,P13987,0.122342803,A0A0A6YYL1,0.000614176,Q96DX4,0.591267602,Q13148,0.000000298,O15514,0.000000112,P35659,0.000000129,Q9Y295,6.29E-08
A0A0A0MTN0,0.002666514,A0A0M3HER1,0.002166781,Q5JP53,0.622995369,A0A0C4DFW2,0.001148241,A0A499FIZ0,0.000774395,Q96HA7,0.025012068,A0A0A6YYL3,0.000029,P60673,0.591269427,Q9Y279,0.000000305,Q9BYX4,0.000000113,Q15063,0.00000013,Q9Y2D2,6.29E-08
A0A0A0MTR7,0.004453887,A0A0R4J2E6,0.000175097,P53396,0.323047217,A0A0C4DFZ2,0.000977913,A0A499FJE1,0.001277943,K7N7A8,0.024475712,A0A0A6YYL4,0.002027452,J3KRR1,0.59137067,Q9H898,0.000000311,Q4G0J3,0.000000115,Q6P1L8,0.000000133,Q9Y5B0,6.36E-08
A0A0A6YYG9,0.005340658,A0A0R4J2E8,0.016469745,Q13509,0.642751149,A0A0C4DG49,0.0000767,A0A499FJL1,0.008392462,P04632,0.233636672,A0A0A6YYL6,0.009918364,Q96EK4,0.591746754,Q92496,0.000000311,Q9Y2L1,0.000000118,Q15020,0.000000133,Q684P5,6.38E-08
A0A0A6YYJ8,0.002902402,A0A0S2Z5C6,0.000408179,P0DPH8,0.67881215,A0A0C4DG89,0.0028377,A0A499FJN5,0.001289387,Q9BT78,0.14919636,A0A0B4J1S7,0.0000748,O75976,0.591944242,O14880,0.000000313,Q8WY22,0.000000119,Q6UX27-2,0.000000134,A0A0B4J1Z4,6.47E-08
A0A0A6YYK5,0.000308232,A0A1X7SBR9,1.56E-05,P0DPH7,0.612607942,A0A0C4DG91,0.000155261,A0A590UJL0,0.000257877,P62241,0.273720344,A0A0B4J1S8,0.000360113,H0Y912,0.592171831,Q9NW64,0.000000313,P13928,0.000000119,Q04771,0.000000134,Q8IVS2,6.48E-08
A0A0A6YYL1,0.000972763,A0A1X7SBS1,0.037613489,Q9H7D0,0.028500496,A0A0C4DGB0,0.000389105,A0A5F9UN72,0.025291829,A0A0A6YY92,0.139971037,A0A0B4J1T8,0.00000935,Q9Y2K1-2,0.592279424,P15529-4,0.000000314,Q9BW85,0.000000121,Q14151,0.000000135,Q99460,6.69E-08
A0A0A6YYL3,1.43E-05,A0A1X7SC65,2.88E-05,P08514,0.034936195,A0A0C4DH75,0.0000159,A0A5F9W493,0.001174945,Q9Y4E8,0.123057944,A0A0B4J1V8,0.000282256,Q9H867-2,0.592571536,Q9NPG3,0.000000323,Q71RG4,0.000000122,Q9BTK6,0.000000136,Q9P0L0,7.06E-08
A0A0A6YYL4,0.002358075,A0A1X7SCE1,0.000839246,Q9UPA5,0.012175281,A0A0G2JH32,0.003814755,A0A5F9YFS9,0.007400626,P15153,0.183684051,A0A0B4J269,0.00349372,Q32MZ4-2,0.59259907,Q96A00,0.000000326,Q9BTK6,0.000000125,Q15080,0.000000136,P12956,7.07E-08
A0A0A6YYL6,0.009117266,A0A2C9F2M7,0.001464866,P06396,0.384120287,A0A0G2JLL6,0.000151446,A0A5H1ZRQ2,0.014648661,P05388,0.326479896,A0A0B4J2A2,0.005416953,H0YA20,0.592670907,Q9UHY1,0.000000328,Q9NYP7,0.000000128,Q8N5C8,0.000000138,Q9UHP9,7.08E-08
A0A0B4J1S7,0.0004654,A0A2C9F2P4,0.004936192,P00734,0.101355515,A0A0G2JMU2,0.0000177,A0A5K1VW54,0.005874723,O94919,0.077878891,A0A0B4J2C3,0.011215381,Q5JSZ5-5,0.592881864,Q4VX76,0.000000335,Q86V42,0.00000013,P15170-3,0.000000138,Q92688,7.17E-08
A0A0B4J1S8,0.000302892,A0A2Q3DQE3,0.004692149,Q05682,0.22684283,A0A0G2JNH3,0.0000102,A0A5K1VW56,0.000598917,P02724,0.012586487,A0A0C3SFZ9,0.002224002,H7C561,0.593439355,A0A0A0MS11,0.000000336,Q9ULR3,0.00000013,M0R3H8,0.000000138,Q9Y2L1,7.34E-08
A0A0B4J1T8,1.36E-05,A0A2R2Y2Q3,0.021477073,P05783,0.397797365,A0A0G2JRV3,0.001338979,A0A5K1VW67,0.030975814,Q9UL46,0.214363614,A0A0C4DFL8,0.001040477,P16591-2,0.593534637,Q15528,0.000000336,O43795,0.000000131,Q96IG2,0.000000139,Q8N292,7.34E-08
A0A0B4J1V8,0.000388199,A0A2U3TZH1,0.000153353,Q6PEY2,0.663472369,A0A0M3HER1,0.000984207,A0A5K1VW76,0.000759136,Q9H9G7,0.060286414,A0A0C4DFM0,0.001911192,Q96B23-2,0.593538857,P22732,0.00000034,Q16854,0.000000135,Q9Y4E8,0.000000139,P27482,0.000000074
A0A0B4J1V9,4.69E-06,A0A2U3TZI2,0.000152972,P01009,0.261491427,A0A0R4J2E6,0.000168994,A0A5K1VW95,0.013542382,P63000,0.198451719,A0A0C4DFM4,0.000315862,Q8IYL3,0.593764891,Q96K12,0.000000341,A0A0A0MSV7,0.000000136,Q9UHP9,0.000000139,Q8NE86,7.54E-08
A0A0B4J269,0.002628829,A0A2U3TZJ3,0.000181947,A0A0G2JH38,0.16138952,A0A0R4J2E8,0.018959335,A0A7D9NKC8,0.000209812,P21108,0.104964869,A0A0C4DFT8,0.002281224,A0A1W2PR06,0.593790959,P60510,0.000000347,P31150,0.000000137,Q71DI3,0.000000139,Q7Z6J2,7.64E-08
A0A0B4J2A2,0.004539559,A0A2U3TZJ9,0.008621347,O43707,0.530777895,A0A126GWQ9,0.00000713,A0A7N4I394,0.00187686,A0A0B4J207,0.104964869,A0A0C4DFW2,0.000682841,Q14677,0.594048381,Q99571,0.000000348,Q7L8L6,0.000000138,A8MPS7,0.00000014,P21266,7.65E-08
A0A0B4J2C3,0.015106432,A0A2U3TZL3,0.00058483,P13645,0.802549479,A0A140TA25,0.0000473,A0A7P0MP65,0.001873045,P48426,0.092575045,A0A0C4DFZ2,0.0000694,C9JKD9,0.594420698,Q8NAP3,0.000000348,A6NEY8,0.000000138,O60880-4,0.000000142,Q9GZV4,7.69E-08
A0A0B4J2G0,3.05E-06,A0A2U3TZM0,0.004768444,Q9HBL0,0.108772996,A0A1C7CYW4,0.000352865,A0A7P0MQS5,0.004692149,Q92539,0.021472118,A0A0C4DG49,0.000115206,U3KQU8,0.594471367,Q9HAC8,0.000000349,Q8TB52,0.000000139,P61421,0.000000143,P50591,7.76E-08
A0A0C3SFZ9,0.000606921,A0A2U3TZM3,0.001514458,P13646,0.246903605,A0A1C7CYW8,0.000000458,A0A7P0MRT9,0.007972839,P62820,0.287093487,A0A0C4DG89,0.004741012,Q8IU60,0.594592006,Q8NHM5,0.00000035,Q9NPA5,0.000000141,P55056,0.000000143,Q8N3F8,7.95E-08
A0A0C4DFL8,0.009166754,A0A2U3TZM4,0.000156405,P68366,0.681994529,A0A1X7SBS1,0.056343938,A0A804CDA6,0.007858396,Q9H0U4,0.3210627,A0A0C4DG91,0.001377127,Q15170,0.59470072,Q9Y5Q9,0.000000358,O75223,0.000000141,P79522,0.000000145,Q5MNZ9,7.98E-08
A0A0C4DFM0,0.000728618,A0A2U3TZM8,0.086442359,P02686,0.017449448,A0A1X7SC65,0.0000492,A0A804CL36,0.00125124,Q92526,0.155435968,A0A0C4DH75,0.0000194,F6M2K4,0.5948227,H0Y8W3,0.000000359,P12111,0.000000142,P17029,0.000000145,P52306,0.00000008
A0A0C4DFM4,0.000109865,A0A2U3TZU2,0.020981155,Q13576,0.158368047,A0A1X7SCE1,0.001689937,A0A8C8KBU6,0.002872511,Q00577,0.095364096,A0A0G2JLL6,0.00109102,O43156,0.594882852,Q6ZSZ5,0.00000036,P14621,0.000000142,Q8N8R3-3,0.000000145,Q9NSK0,8.08E-08
A0A0C4DFT8,0.001182574,A0A384DVL8,2.33E-05,P09874,0.3044893,A0A2C9F2M7,0.001056687,A0A8C8KBY2,0.000349813,Q96PL5,0.00402267,A0A0G2JMU2,0.0000259,Q6ZVX7,0.594975706,Q9UIK4,0.000000361,Q504Q3,0.000000143,Q86Y79,0.000000146,O43829,8.13E-08
A0A0C4DFU5,0.000163272,A0A3B3IPE9,0.002777142,P26038,0.219184425,A0A2C9F2P4,0.0033608,A0A8C8KIA0,0.002803845,Q96L46,0.060590349,A0A0G2JNH3,0.0000131,Q5JY01,0.595061954,Q8IZ73,0.000000361,Q7Z7A1,0.000000143,F8VR69,0.000000146,Q96MT3,0.000000083
A0A0C4DFW2,0.000988022,A0A3F2YNX1,0.00033608,P02671,0.127910534,A0A2Q3DQE3,0.002506294,A0A8C8L741,0.008659495,Q99598,0.120876763,A0A0G2JRV3,0.004539559,O15211,0.595301056,P0CK96,0.000000366,Q9Y2L6,0.000000143,O14548,0.000000149,Q12767,8.38E-08
A0A0C4DFZ2,0.001428925,A0A3F2YNX7,0.000234607,P02760,0.189637602,A0A2R2Y2Q3,0.03509575,A0A8J8YU24,0.006332494,P43250,0.031788032,A0A0M3HER1,0.0009308,Q68DL0,0.595458181,Q2KHR2,0.000000367,P82094,0.000000145,Q13610,0.000000152,Q01518,0.000000085
A0A0C4DG49,1.80E-05,A0A499FI31,0.004092894,P10809,0.510557274,A0A2U3TZH1,0.000247959,A0A8J8YWN6,0.026665141,Q9NS86,0.082330646,A0A0R4J2E4,0.000000343,E9PN67,0.595553361,Q9NQC1,0.000000368,P04259,0.000000145,O75528,0.000000153,P04920,8.61E-08
A0A0C4DG89,0.003884391,A0A499FI48,0.008468757,Q9NZM1,0.111153963,A0A2U3TZI2,0.000193027,A0A8V8NBT1,0.00195697,P07203,0.108612089,A0A0R4J2E6,0.000178531,Q9Y5J5,0.595559128,Q8N567,0.000000376,Q9NZ45,0.000000145,Q5VTR2,0.000000153,Q99832,8.65E-08
A0A0C4DG91,0.000564584,A0A499FIX8,0.005645838,P08133,0.304918384,A0A2U3TZJ3,0.000686656,A0A8Z5A536,0.005111772,P18577,0.008152611,A0A0R4J2E8,0.032387274,Q9BTX1-3,0.595740376,P25105,0.00000039,Q8N3Z6,0.000000146,O75594,0.000000154,Q15345,8.69E-08
A0A0C4DH75,1.15E-05,A0A499FIY5,1.81E-05,P07951,0.327928057,A0A2U3TZJ9,0.00888838,A0A9H3ZVF6,0.002170596,Q8N3F8,0.02856822,A0A0S2Z5C6,0.000162509,Q6ZNC8-3,0.595825462,P15336,0.000000394,Q9NZB2-6,0.000000147,Q9UMZ2,0.000000156,Q86V42,8.89E-08
A0A0G2JH32,0.000534066,A0A499FIZ0,0.000911659,P35573,0.128868468,A0A2U3TZL3,0.000720989,A0A9H4CVU7,0.000212863,P61026,0.303595373,A0A140TA25,0.0000032,Q9UEE9-2,0.595920961,P52630,0.000000396,O95727,0.000000149,P20742,0.000000159,Q9Y6R7,8.92E-08
A0A0G2JLL6,0.000923171,A0A499FJ16,4.92E-05,P00488,0.14517369,A0A2U3TZM0,0.005912871,A0AA75ISB7,0.0000759,P22303,0.004487512,A0A1C7CYW4,0.000717174,Q8N490-2,0.596139872,P09917,0.000000396,P60900,0.000000149,Q9H9C1,0.000000159,P40121,9.12E-08
A0A0G2JMU2,1.29E-05,A0A499FJ85,8.09E-05,P02545,0.416444675,A0A2U3TZM3,0.001468681,A0AAA9X7E5,0.000242618,Q9H4G4,0.062700016,A0A1C7CYW8,0.0000214,O15204-2,0.596195869,O14986,0.000000397,Q8IWE4,0.00000015,P22531,0.000000159,Q99081,9.13E-08
A0A0G2JNH3,7.86E-06,A0A499FJE1,0.006027314,P01019,0.128636047,A0A2U3TZM8,0.07862211,A0AV96,0.019234814,Q9HCK5,0.043820285,A0A1X7SBS1,0.078202487,F5GX09,0.596214366,Q86XZ4,0.000000403,Q9NPD8,0.000000157,Q9NRW7,0.00000016,E9PN89,9.26E-08
A0A0G2JRV3,0.002300298,A0A499FJL1,0.007896544,P06733,0.599270556,A0A2U3TZR1,0.00000225,A0AVT1,0.001206827,Q9UL51,0.002771173,A0A1X7SC65,0.000019,Q6IME9,0.596245957,P68036-3,0.000000409,P43378,0.000000158,Q96LT7,0.00000016,Q9H2H8,0.000000094
A0A0M3HER1,0.000438697,A0A499FJN5,0.003311208,Q15418,0.134947169,A0A2U3TZU2,0.025406271,A0JNW5,0.0000907,Q9H479,0.038170668,A0A1X7SCE1,0.000862135,Q14586,0.596419198,Q9UK23,0.000000412,O15056,0.00000016,Q7Z4H3,0.00000016,P52594,9.46E-08
A0A0R4J2E4,7.63E-08,A0A499FJW5,0.000968948,P11021,0.624747466,A0A3B3IPE9,0.001216907,A0MZ66,0.003450401,Q04323,0.107360592,A0A2C9F2M7,0.001728084,A0A1B0GU95,0.596569379,Q15149-9,0.000000415,O43505,0.000000161,Q8NEZ5,0.000000162,Q9NQC1,9.52E-08
A0A0R4J2E6,0.000124743,A0A5F9UN72,0.019531548,P07814,0.319668174,A0A3F2YNX1,0.000583658,A1L0T0,0.001076344,Q96QR8,0.092718073,A0A2C9F2P4,0.005111772,A0A096LP69,0.597026781,P14868,0.000000417,Q9BSJ8-2,0.000000162,Q9Y286,0.000000162,Q6P2E9,9.68E-08
A0A0R4J2E8,0.016646524,A0A5F9UWT1,0.000174334,P09493,0.296175782,A0A3F2YPB8,0.00000641,A1L4H1,0.000139239,P04921,0.019308816,A0A2Q3DQE3,0.002162966,F8WF93,0.597396962,P49247,0.000000421,Q08623,0.000000163,P50991,0.000000164,Q8IYB8,9.76E-08
A0A0S2Z5C6,0.000113298,A0A5F9UY30,0.000560769,P04406,0.675826435,A0A499FI31,0.007057298,A1XBS5,0.000125124,Q02161,0.008242004,A0A2R2Y2Q3,0.021438926,Q9UBS0,0.597731818,Q8IX90,0.000000423,P61088,0.000000163,Q15650,0.000000167,Q6P4E1,9.92E-08
A0A0X1KG73,1.37E-06,A0A5F9W493,0.001373312,Q92616,0.28010298,A0A499FI48,0.015335317,A2RRP1,0.000046,Q96S97,0.051704718,A0A2U3TZH1,0.00011635,Q9BPX3,0.598124427,Q9HBI0,0.000000426,P16188,0.000000164,Q9NP61,0.000000167,Q96KM6,0.0000001
A0A0X1KG74,7.25E-07,A0A5F9YFS9,0.01232166,A0A0A0MRA8,0.098617989,A0A499FIJ6,0.000142672,A2RTX5,0.000152548,Q9UJC5,0.017439149,A0A2U3TZI2,0.000598917,Q8WYL5,0.598198072,B1AHC4,0.000000428,E7ENX8,0.000000165,A5D8V6,0.00000017,A0A087WZ08,0.000000101
A0A0X1KG80,3.09E-06,A0A5H1ZRQ2,0.022659648,P02766,0.092817615,A0A499FIV7,0.00000904,A2RUB6,0.000210956,Q9P0J7,0.044392398,A0A2U3TZJ3,0.000154116,Q6P2C8-2,0.598310661,Q8NBN3,0.000000428,Q96BW5,0.000000167,P12956,0.00000017,O60930,0.000000101
A0A126GWQ9,5.95E-06,A0A5K1VW28,3.15E-05,P14625,0.539216563,A0A499FIX8,0.007896544,A2RUR9,0.0000557,P29074,0.001662704,A0A2U3TZJ9,0.009117266,Q92610,0.598338255,Q7L8L6,0.000000429,Q687X5,0.000000168,Q9P1W9,0.00000017,Q7Z7H8,0.000000102
A0A140TA25,1.82E-05,A0A5K1VW54,0.005188067,Q86UX7,0.17613931,A0A499FIZ0,0.000307469,A2RUS2,0.000203326,P63218,0.051347147,A0A2U3TZL3,0.001663233,Q9Y2C4-3,0.598504547,O00506,0.000000432,P08243,0.000000168,Q8TF50,0.000000171,Q9H4Z2-2,0.000000104
A0A1B0GWZ1,2.42E-05,A0A5K1VW56,0.001228351,P14618,0.614109738,A0A499FJE1,0.003009842,A3KMH1,0.000013,Q96A70,0.002646023,A0A2U3TZM0,0.008659495,Q9UHW5,0.598579845,Q96JH7,0.000000434,Q93079,0.000000168,P29692-4,0.000000171,A0A075B6S3,0.000000105
A0A1C7CYW4,0.000328832,A0A5K1VW67,0.024261845,P35240,0.034291027,A0A499FJE4,0.00000534,A4D1P6,0.000463342,Q8TCT7,1.32E-08,A0A2U3TZM3,0.00054551,Q9ULW5-2,0.598615118,P45954,0.000000438,P48023,0.000000168,Q96HD9,0.000000171,E7EVZ2,0.000000105
A0A1C7CYW8,5.53E-06,A0A5K1VW76,0.000663767,P00738,0.124407403,A0A499FJL1,0.005416953,A4D1S5,0.000891364,Q6UW02,1.46E-08,A0A2U3TZM4,0.0000549,P41743,0.598678241,Q96GC9,0.000000439,P54727,0.000000168,Q96C90,0.000000172,H0Y3U8,0.000000105
A0A1X7SBR7,0.00014229,A0A5K1VW95,0.040856031,Q14247,0.130427439,A0A499FJN5,0.00164416,A4D2H0,0.0000488,Q92575,1.92E-08,A0A2U3TZM8,0.073243305,E5RHK8,0.598724254,Q92804,0.000000441,Q15052,0.000000169,I3L4N8,0.000000172,Q13595,0.000000105
A0A1X7SBS1,0.053368429,A0A6E1WJ75,0.000332647,P13647,0.648758336,A0A499FJW5,0.000598917,A4FU28,0.0000427,G3V3G9,2.62E-08,A0A2U3TZU2,0.029373617,Q13509,0.599060044,Q9UL54,0.000000442,P42330-2,0.000000171,Q96HV5,0.000000173,O00182,0.000000108
A0A1X7SC65,2.40E-05,A0A6E1WMD9,3.32E-05,P07237,0.420002503,A0A5F9UN72,0.027504387,A5D8V7,0.0000283,Q9BYX2,0.00000004,A0A3B3IPE9,0.002948806,G3V331,0.599168032,Q8NC06-2,0.000000443,Q6Y2X3,0.000000172,P35520,0.000000174,Q9HAN9,0.000000109
A0A1X7SCE1,0.001140612,A0A7D9NKC8,0.000300984,Q06830,0.458387714,A0A5F9UWT1,0.00000198,A5PLN9,0.000252113,Q09161,4.27E-08,A0A3F2YNX1,0.000572213,Q86Y56,0.599229499,Q9GZV4,0.000000447,Q9Y3L5,0.000000174,Q9P2D3,0.000000174,Q9BTA9,0.000000109
A0A2C9F2M7,0.001846342,A0A7I2PHE7,2.59E-05,P08779,0.592548227,A0A5F9UY30,0.001239796,A5YKK6,0.00168419,Q96JG6,4.37E-08,A0A494C0H0,0.0000511,H0YME5,0.59929253,P01130,0.000000449,Q13330-3,0.000000175,Q5VWN6,0.000000178,Q96H78,0.000000109
A0A2C9F2P4,0.006297137,A0A7I2RAZ6,0.000212863,P00367,0.134392582,A0A5F9W493,0.001361868,A6NC98,0.003793226,O95298,4.45E-08,A0A499FI31,0.009803922,Q9UBI6,0.599296323,Q9NUA8,0.00000045,P21941,0.000000176,Q9Y6D6,0.000000182,Q9NUP9,0.000000109
A0A2Q3DQE3,0.002697032,A0A7I2RN43,5.49E-05,Q9H4B7,0.213253077,A0A5F9YFS9,0.007896544,A6NCW0,0.00000668,Q9H8N7,4.47E-08,A0A499FI48,0.011787594,P38432,0.599302005,P01613,0.000000451,Q9UIF9,0.000000177,Q9UK41,0.000000182,Q9UKN8,0.00000011
A0A2R2Y2Q3,0.024719615,A0A7I2XYG4,1.76E-05,Q16827,0.003798297,A0A5H1ZRP1,0.000114443,A6NDG6,0.000887078,O14757,4.83E-08,A0A499FIJ6,0.000344472,Q6VMQ6-2,0.599337837,Q9NSB8-2,0.000000454,Q96DZ1,0.000000178,P33527,0.000000183,O75695,0.00000011
A0A2U3TZH1,0.000629435,A0A7N4I394,0.005722133,P55072,0.449680868,A0A5H1ZRQ2,0.025673304,A6NDU8,0.001186466,Q9ULX9,4.87E-08,A0A499FIX8,0.002113375,Q5BKU9,0.599417275,Q9Y6I4,0.000000454,P41597-2,0.000000178,Q96MT3,0.000000184,Q9H0X9,0.000000111
A0A2U3TZI2,0.000389105,A0A7P0MLU2,0.000153735,O15020,0.178874725,A0A5K1VW54,0.00327306,A6NE52,0.00217026,Q10472,4.94E-08,A0A499FIZ0,0.000209812,G3V4A5,0.59962999,Q14118,0.000000456,P51798,0.000000179,Q9C005,0.000000184,Q8IUI8-2,0.000000112
A0A2U3TZJ3,0.000392261,A0A7P0MP65,0.000900282,P13639,0.253310532,A0A5K1VW56,0.000934615,A6NF36,0.000537881,Q96BQ5,5.11E-08,A0A499FJ16,0.0000408,C9J7X6,0.599728458,Q6F5E8,0.000000456,P58511,0.000000182,P62899,0.000000184,A0A0A6YYL4,0.000000114
A0A2U3TZJ9,0.005798428,A0A7P0MQS5,0.004882887,P04217,0.180483793,A0A5K1VW67,0.022697795,A6NFA1,0.000194171,P61925,0.000000052,A0A499FJE1,0.003891051,E5RIC7,0.599731941,Q5T9C2,0.000000458,Q96MT3,0.000000182,Q16539-2,0.000000186,P0CG23,0.000000114
A0A2U3TZL3,0.000565342,A0A7P0MRT9,0.016899367,O75643,0.146471456,A0A5K1VW76,0.000598917,A6NFM0,0.000352102,Q9BTZ2,5.67E-08,A0A499FJE4,0.0000248,H0YM15,0.599750434,P04259,0.000000459,Q9ULU4-13,0.000000184,Q96LC9,0.000000189,Q13241,0.000000114
A0A2U3TZM0,0.00701915,A0A804CBI3,0.000273136,Q13616,0.120805249,A0A5K1VW95,0.025482567,A6NHC0,0.000146868,P61247,0.000000057,A0A499FJL1,0.002338445,Q9UPN9,0.599794323,A0A0B4J220,0.000000461,Q96A33,0.000000185,C9J406,0.000000194,Q96BY6-3,0.000000114
A0A2U3TZM3,0.002197299,A0A804CDA6,0.008621347,Q08380,0.109356242,A0A6E1W401,0.00000603,A6NHG4,0.003681239,Q9BT43,6.17E-08,A0A499FJN5,0.001831083,Q9H479,0.599857865,P78356,0.000000464,P56182,0.000000186,A7E2V4,0.000000194,Q96GU1,0.000000115
A0A2U3TZM4,3.17E-05,A0A804CL36,0.003341726,Q05655,0.115298661,A0A6E1WJ75,0.0000477,A6NHL2,0.000689853,H7C1U7,6.37E-08,A0A499FJW5,0.000728618,Q9UQR1,0.600113697,Q99733,0.000000468,Q07817,0.000000186,P62633,0.000000195,Q10469,0.000000115
A0A2U3TZM8,0.081483177,A0A8C8KBT8,2.70E-05,Q12931,0.213818375,A0A6Q8JR05,0.000000191,A6NHQ2,0.000141898,Q9BSD7,7.17E-08,A0A5F9UN72,0.016250858,O95998,0.600141007,Q99767,0.000000483,Q9BSJ2,0.000000187,O15260,0.000000195,Q12986,0.000000116
A0A2U3TZU2,0.026779583,A0A8C8KBU6,0.015487907,P46939,0.147909106,A0A7D9NKC8,0.000316243,A6NHQ4,0.000492103,Q13206,7.27E-08,A0A5F9UWT1,0.0002327,M0R073,0.600248757,Q9Y4W2,0.000000488,F8WDZ3,0.000000193,Q643R3,0.000000196,P43308,0.000000118
A0A3B3IPE9,0.002048524,A0A8C8KBY2,0.000621805,Q14573,0.061351451,A0A7I2PHE7,0.0000439,A6NHR9,0.000973847,J3KNF4,7.84E-08,A0A5F9UY30,0.001823453,J3QT87,0.600478365,Q86VN1,0.000000489,Q9NQ48,0.000000195,Q96PU5,0.000000197,Q96AD5,0.000000118
A0A3F2YNX1,0.000336843,A0A8C8KIA0,0.007248035,Q6P2Q9,0.134158819,A0A7I2RAZ6,0.000117494,A6NI73,0.002579254,Q9H9Y2,8.35E-08,A0A5F9W493,0.001674678,J3QKT5,0.600488053,Q9H3R5,0.000000489,P08047,0.000000195,Q96H78,0.000000199,P63313,0.000000118
A0A3F2YNX7,5.38E-05,A0A8C8L741,0.012893874,P02675,0.141286737,A0A7I2RN43,0.0000182,A6NIK2,0.0000124,Q9P291,8.36E-08,A0A5F9YFS9,0.022163729,Q8IXS8,0.600527059,Q96PU5,0.00000049,P51825-2,0.000000196,Q71U36,0.000000199,Q9NV70-2,0.000000123
A0A3F2YPB8,1.26E-06,A0A8J8YU24,0.004310674,P01008,0.186419466,A0A7N4I394,0.006218051,A6NIV6,0.000132372,F8W717,9.52E-08,A0A5H1ZRP1,0.0000191,Q5T0Z6,0.60064562,Q9P2N6-3,0.000000493,P0DJI9,0.000000198,P17987,0.0000002,Q08881,0.000000124
A0A499FI31,0.0048601,A0A8J8YWN6,0.017204547,Q16555,0.265978939,A0A7P0MLU2,0.0004654,A6NJG2,0.000436711,Q9Y371,9.92E-08,A0A5H1ZRQ2,0.024757763,B8ZZD4,0.600662786,Q9P260,0.000000494,O00399,0.000000199,Q9UK23,0.000000203,Q96HL8,0.000000124
A0A499FI48,0.012855726,A0A8J8ZH50,5.26E-05,P23141,0.075715588,A0A7P0MP65,0.00012665,A6NKT7,0.000190356,Q9HC78,0.000000104,A0A5K1VW28,0.00024567,P40937-2,0.600727551,Q9C086,0.000000497,Q9UNE7,0.0000002,Q9Y265,0.000000205,Q96BY6,0.000000125
A0A499FIJ6,0.000230411,A0A8V8NBT1,0.004386969,P00352,0.13591261,A0A7P0MQS5,0.002475776,A6NLU0,0.000104906,Q9H4B6,0.000000107,A0A5K1VW54,0.016899367,P20273-2,0.600760299,Q8N4J0,0.000000502,Q9BYB4,0.000000202,Q9Y4G2,0.000000205,O00488,0.000000126
A0A499FIM1,8.20E-06,A0A8V8PNE1,6.33E-05,P05023,0.167400827,A0A7P0MRT9,0.009651331,A6NMX2,0.000419623,Q9Y6M9,0.000000112,A0A5K1VW56,0.001380941,Q99943,0.600856781,Q5BKX5,0.000000505,Q9H9C1,0.000000204,O95644-8,0.000000206,Q86WA6,0.000000126
A0A499FIS5,0.000113298,A0A8Z5A536,0.001857786,Q9H792,0.032699837,A0A804CDA6,0.004234379,A6NMZ7,0.0000336,A0A087WT39,0.000000119,A0A5K1VW67,0.02964065,O95926,0.601095234,P04229,0.000000508,O15211,0.000000204,Q9UGV2,0.000000206,P62166,0.000000128
A0A499FIV7,7.06E-06,A0A9H3ZVF6,0.000259785,P80723,0.144994905,A0A804CL36,0.002132448,A7KAX9,0.000323093,O60832,0.000000121,A0A5K1VW76,0.001132982,Q6NW34-2,0.601230263,O75170-2,0.000000508,A8MPS7,0.000000205,Q9BXI6,0.000000208,Q9HC16,0.000000128
A0A499FIX8,0.008087282,A0AAA9X3B1,0.000108339,P08575,0.058970158,A0A804EQJ3,0.000023,A8K0Z3,0.000469215,P62273,0.000000122,A0A5K1VW95,0.038910506,P78325-2,0.601239359,Q06136,0.000000509,P32456,0.000000205,Q9Y227,0.000000208,Q9NRW7,0.000000131
A0A499FIZ0,0.000558878,A0AAA9X7E5,0.000215915,Q15746,0.07015584,A0A8C8KBU6,0.011673152,A8K7I4,0.000042,O95273,0.000000129,A0A6E1W401,0.00018349,Q9BZL6,0.601359502,P49903,0.000000512,Q9Y3R5,0.000000207,Q9BZE4,0.00000021,P17706,0.000000132
A0A499FJ16,0.000127794,A0AAA9XBX5,2.89E-05,P22314,0.417982229,A0A8C8KBY2,0.000181582,A8K8P3,0.000182345,E9PJX5,0.00000013,A0A6E1WA84,0.003204395,Q8WV93,0.601492428,Q9BSJ2,0.000000515,P61970,0.000000207,Q9NUL7,0.00000021,P30483,0.000000132
