gene	databases_count	databases_list
IL13RA1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
IL18BP	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
IL1RAP	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
IL6ST	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
INHBC	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
ITGB1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
ITGB2	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
ITIH3	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
KIT	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
KLK6	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
LAMP2	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
LAP3	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
LAT	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
LBP	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
LCN2	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
LDLR	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
LGALS1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
LGALS3	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
LGMN	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
LHPP	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
LRP1	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
LTA4H	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
LTBP2	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
LTBP3	6	"peptideatlas, hpa_ms, hpa_pea, gpmdb, paxdb, quantms"
