gene	category
GALNT5	PeptideAtlas Superior
GALNT6	PeptideAtlas Superior
GALNT7	PeptideAtlas Superior
GANAB	PeptideAtlas Superior
GAPDH	PeptideAtlas Superior
GAS6	PeptideAtlas Superior
GBA1	PeptideAtlas Superior
GBE1	PeptideAtlas Superior
GCLC	PeptideAtlas Superior
GCNT2	PeptideAtlas Superior
GDA	PeptideAtlas Superior
GDF2	PeptideAtlas Superior
GDI1	PeptideAtlas Superior
GDI2	PeptideAtlas Superior
GFRA2	PeptideAtlas Superior
GGH	PeptideAtlas Superior
GGT5	PeptideAtlas Superior
GGT7	PeptideAtlas Superior
GHR	PeptideAtlas Superior
GKN1	PeptideAtlas Superior
GLA	PeptideAtlas Superior
GLB1	PeptideAtlas Superior
GLCE	PeptideAtlas Superior
GLG1	PeptideAtlas Superior
GLIPR2	PeptideAtlas Superior
GLO1	PeptideAtlas Superior
GLOD4	PeptideAtlas Superior
GLRX	PeptideAtlas Superior
GM2A	PeptideAtlas Superior
GMFG	PeptideAtlas Superior
GNPTG	PeptideAtlas Superior
GNS	PeptideAtlas Superior
GOLIM4	PeptideAtlas Superior
GOLM1	PeptideAtlas Superior
GOLM2	PeptideAtlas Superior
GOT1	PeptideAtlas Superior
GP1BA	PeptideAtlas Superior
GP6	PeptideAtlas Superior
GPC1	PeptideAtlas Superior
GPD1	PeptideAtlas Superior
GPI	PeptideAtlas Superior
GPLD1	PeptideAtlas Superior
GPNMB	PeptideAtlas Superior
GPT	PeptideAtlas Superior
GRB2	PeptideAtlas Superior
GRN	PeptideAtlas Superior
GSR	PeptideAtlas Superior
GSS	PeptideAtlas Superior
GSTO1	PeptideAtlas Superior
GUCA2A	PeptideAtlas Superior
GUSB	PeptideAtlas Superior
GXYLT1	PeptideAtlas Superior
H1-5	PeptideAtlas Superior
H6PD	PeptideAtlas Superior
HEATR1	PeptideAtlas Superior
HEG1	PeptideAtlas Superior
HEPACAM2	PeptideAtlas Superior
HEPH	PeptideAtlas Superior
HEXA	PeptideAtlas Superior
HEXB	PeptideAtlas Superior
HGFAC	PeptideAtlas Superior
HLA-A	PeptideAtlas Superior
HLA-B	PeptideAtlas Superior
HLA-C	PeptideAtlas Superior
HLA-DPA1	PeptideAtlas Superior
HLA-DRB1	PeptideAtlas Superior
HMBS	PeptideAtlas Superior
HMCN1	PeptideAtlas Superior
HMCN2	PeptideAtlas Superior
HNRNPA2B1	PeptideAtlas Superior
HNRNPK	PeptideAtlas Superior
HNRNPM	PeptideAtlas Superior
HNRNPU	PeptideAtlas Superior
HP	PeptideAtlas Superior
HPD	PeptideAtlas Superior
HPRT1	PeptideAtlas Superior
HPSE	PeptideAtlas Superior
HSP90AA1	PeptideAtlas Superior
HSP90AB1	PeptideAtlas Superior
HSP90B1	PeptideAtlas Superior
HSPA13	PeptideAtlas Superior
HSPA2	PeptideAtlas Superior
HSPA4	PeptideAtlas Superior
HSPA8	PeptideAtlas Superior
HSPB1	PeptideAtlas Superior
HSPD1	PeptideAtlas Superior
HSPE1	PeptideAtlas Superior
HSPG2	PeptideAtlas Superior
HSPH1	PeptideAtlas Superior
HTRA1	PeptideAtlas Superior
HYOU1	PeptideAtlas Superior
ICAM1	PeptideAtlas Superior
ICAM2	PeptideAtlas Superior
ICAM3	PeptideAtlas Superior
ICAM5	PeptideAtlas Superior
ICOSLG	PeptideAtlas Superior
IDH1	PeptideAtlas Superior
IDS	PeptideAtlas Superior
IGDCC4	PeptideAtlas Superior
IGF1	PeptideAtlas Superior
IGF2R	PeptideAtlas Superior
IGFBP1	PeptideAtlas Superior
IGFBP2	PeptideAtlas Superior
IGFBP4	PeptideAtlas Superior
IGFBP5	PeptideAtlas Superior
IGFBP6	PeptideAtlas Superior
IGFBP7	PeptideAtlas Superior
IGHA1	PeptideAtlas Superior
IGHG2	PeptideAtlas Superior
IGHG3	PeptideAtlas Superior
IGHG4	PeptideAtlas Superior
IGHM	PeptideAtlas Superior
IGKC	PeptideAtlas Superior
IL13RA1	PeptideAtlas Superior
IL18BP	PeptideAtlas Superior
IL1R2	PeptideAtlas Superior
IL1RAP	PeptideAtlas Superior
IL6R	PeptideAtlas Superior
IL6ST	PeptideAtlas Superior
ILF2	PeptideAtlas Superior
INHBC	PeptideAtlas Superior
INHBE	PeptideAtlas Superior
INPP5D	PeptideAtlas Superior
ISLR	PeptideAtlas Superior
ITGA1	PeptideAtlas Superior
ITGA2	PeptideAtlas Superior
ITGA2B	PeptideAtlas Superior
ITGA7	PeptideAtlas Superior
ITGAL	PeptideAtlas Superior
ITGB1	PeptideAtlas Superior
ITGB2	PeptideAtlas Superior
