"Gene","Concentration","Database","Category","CellType","Dataset","Source_ID","Gene_Dataset"
"TTR",1633071250,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TTR_PXD004352"
"TTR",28.1551510275,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TTR_PXD040957"
"TTYH2",88251103.125,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TTYH2_PXD004352"
"TTYH3",1028803.125,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TTYH3_PXD004352"
"TUBA1A",813863125,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TUBA1A_PXD004352"
"TUBA1A",207797,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","TUBA1A_PXD025174"
"TUBA1B",78715625000,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TUBA1B_PXD004352"
"TUBA1B",20461231,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","TUBA1B_PXD025174"
"TUBA1B",33.06665522,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TUBA1B_PXD040957"
"TUBA1C",392396015.625,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TUBA1C_PXD004352"
"TUBA1C",177705,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","TUBA1C_PXD025174"
"TUBA4A",8323775000,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TUBA4A_PXD004352"
"TUBA4A",1182607,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","TUBA4A_PXD025174"
"TUBA4A",31.3305520325,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TUBA4A_PXD040957"
"TUBA8",12631178.125,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TUBA8_PXD004352"
"TUBAL3",19131246.875,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TUBAL3_PXD004352"
"TUBAL3",10273,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","TUBAL3_PXD025174"
"TUBAL3",21.34321175,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TUBAL3_PXD040957"
"TUBB",28420912500,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TUBB_PXD004352"
"TUBB",20583628,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","TUBB_PXD025174"
"TUBB",31.9355484425,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TUBB_PXD040957"
"TUBB1",48800700,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TUBB1_PXD004352"
"TUBB2A",60876500,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TUBB2A_PXD004352"
"TUBB2A",23.96222338,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TUBB2A_PXD040957"
"TUBB2B",143364250,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TUBB2B_PXD004352"
"TUBB2B",24.62290514,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TUBB2B_PXD040957"
"TUBB3",18296125,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TUBB3_PXD004352"
"TUBB3",2984,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","TUBB3_PXD025174"
"TUBB4A",250694687.5,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TUBB4A_PXD004352"
"TUBB4A",6624,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","TUBB4A_PXD025174"
"TUBB4A",24.61179771,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TUBB4A_PXD040957"
"TUBB4B",79821875000,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TUBB4B_PXD004352"
"TUBB4B",33.28171759,"ProteomeXchange","CellType","CD8","PXD040957","PXD040957_CD8","TUBB4B_PXD040957"
"TUBB6",106800203.125,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TUBB6_PXD004352"
"TUBB6",263086,"ProteomeXchange","CellType","CD8","PXD025174","PXD025174_CD8","TUBB6_PXD025174"
"TUBB8",3261772500,"ProteomeXchange","CellType","CD8","PXD004352","PXD004352_CD8","TUBB8_PXD004352"
