"Gene","Database","Category","CellType","Concentration","Dataset"
"ACTA2","ProteomeXchange","CellType","CD8",20187687.5,"PXD004352"
"ACTB","ProteomeXchange","CellType","CD8",457718750000,"PXD004352,PXD040957"
"ACTBL2","ProteomeXchange","CellType","CD8",2054303875,"PXD004352,PXD025174,PXD040957"
"ACTC1","ProteomeXchange","CellType","CD8",8459364,"PXD025174"
"ACTG1","ProteomeXchange","CellType","CD8",7175987500,"PXD004352,PXD025174,PXD040957"
"ACTG2","ProteomeXchange","CellType","CD8",435327,"PXD025174"
"ACTL6A","ProteomeXchange","CellType","CD8",2609098750,"PXD004352,PXD040957"
"ACTN1","ProteomeXchange","CellType","CD8",9895700937.5,"PXD004352,PXD025174,PXD040957"
"ACTN2","ProteomeXchange","CellType","CD8",46982310.3125,"PXD004352"
"ACTN4","ProteomeXchange","CellType","CD8",53273868750,"PXD004352,PXD025174,PXD040957"
"ACTR10","ProteomeXchange","CellType","CD8",392684387.5,"PXD004352,PXD025174,PXD040957"
"ACTR1A","ProteomeXchange","CellType","CD8",3038800937.5,"PXD004352,PXD025174,PXD040957"
"ACTR1B","ProteomeXchange","CellType","CD8",968842281.25,"PXD004352,PXD025174,PXD040957"
"ACTR2","ProteomeXchange","CellType","CD8",23628678125,"PXD004352,PXD025174,PXD040957"
"ACTR3","ProteomeXchange","CellType","CD8",34057187500,"PXD004352,PXD025174,PXD040957"
"ACTR3B","ProteomeXchange","CellType","CD8",78986900,"PXD004352,PXD040957"
"ACTR5","ProteomeXchange","CellType","CD8",178579003.125,"PXD004352,PXD040957"
"ACTR6","ProteomeXchange","CellType","CD8",38326031.25,"PXD004352,PXD040957"
"ACTR8","ProteomeXchange","CellType","CD8",173585406.25,"PXD004352,PXD040957"
"ACVR1","ProteomeXchange","CellType","CD8",23599378.125,"PXD004352"
"ACY3","ProteomeXchange","CellType","CD8",9244865.625,"PXD004352"
"ACYP1","ProteomeXchange","CellType","CD8",24.6677531675,"PXD040957"
"ACYP2","ProteomeXchange","CellType","CD8",85397946.875,"PXD004352,PXD040957"
